Season,Round,Date,Time,Home_Team,Away_Team,FT_Home_Goals,FT_Away_Goals,HT_Home_Goals,HT_Away_Goals,Total_Goals,HST,AST,HC,AC,HR,AR,AH_Result,OU_Result,Home_Elo,Away_Elo,Elo_Diff,Home_Avg_GS,Home_Avg_GA,Home_Avg_ST,Home_Avg_Corners,Away_Avg_GS,Away_Avg_GA,Away_Avg_ST,Away_Avg_Corners,Home_GS_AtHome,Home_GA_AtHome,Away_GS_AtAway,Away_GA_AtAway,Home_Attack_Eff,Home_Defense_Pressure,Away_Attack_Eff,Away_Defense_Pressure,Home_Days_Rest,Away_Days_Rest,Rest_Diff,H2H_Home_WinRate,H2H_Avg_Goals,Attack_Diff,Defense_Diff,Form_Diff
2018-2019,23,2019-01-19,15:00,利物浦,水晶宫,4,3,0,1,7,7,6,5,9,0,0,-1,1,1627.732962338134,1460.2590446058923,167.47391773224172,2.6,0.6,6.4,6.6,1.2,1.0,4.2,4.8,3.0,0.4,1.6,1.6,0.3733333333333333,0.25,0.3630952380952381,0.3299999999999999,7.0,7.0,0.0,1.0,2.0,1.4,0.4,1.8
2018-2019,23,2019-01-19,15:00,曼彻斯特联,布莱顿,2,1,2,0,3,5,3,6,5,0,0,-1,1,1550.3603534868662,1489.4912522272612,60.86910125960503,3.0,0.6,7.8,6.0,1.0,1.2,4.0,3.8,2.6,1.0,1.2,1.4,0.3961111111111111,0.2333333333333333,0.3194444444444444,0.3066666666666666,6.0,7.0,-1.0,0.0,5.0,2.0,0.6,2.6
2018-2019,23,2019-01-19,12:30,狼队,莱斯特城,4,3,2,0,7,9,3,8,3,1,0,1,1,1496.782076957507,1498.050762920545,-1.268685963037797,1.2,1.2,3.8,4.6,1.0,0.8,5.0,6.6,0.8,1.4,0.8,0.4,0.3333333333333333,0.2571428571428571,0.23,0.25,17.0,7.0,10.0,0.0,2.0,0.1999999999999999,-0.3999999999999999,-0.1999999999999999
2018-2019,23,2019-01-20,13:30,哈德斯菲尔德,曼彻斯特城,0,3,0,1,3,2,4,1,4,0,0,-1,-1,1394.6880655411555,1608.2820177554722,-213.5939522143167,0.6,1.8,3.2,5.8,2.6,1.2,5.8,8.2,0.8,1.8,2.0,0.8,0.24,0.3125,0.4666666666666667,0.4875,8.0,6.0,2.0,0.0,7.0,-2.0,-0.6000000000000001,-2.6000000000000005
2018-2019,23,2019-01-20,15:59,富勒姆,托特纳姆热刺,1,2,1,0,3,4,5,7,10,0,0,-1,1,1423.185618836912,1582.89488067876,-159.70926184184805,0.8,1.4,3.6,3.4,3.0,1.2,6.6,4.0,1.2,1.2,3.0,0.8,0.2066666666666666,0.2314814814814814,0.5095238095238095,0.3083333333333333,8.0,7.0,1.0,0.0,4.0,-2.2,-0.1999999999999999,-2.4
2018-2019,24,2019-01-29,19:45,富勒姆,布莱顿,4,2,0,2,6,7,6,10,1,0,0,1,1,1414.8874678173563,1483.8166639213136,-68.92919610395734,1.0,1.8,4.0,4.8,1.0,1.2,4.2,4.0,0.8,1.2,1.2,1.8,0.2566666666666666,0.2736111111111111,0.2777777777777777,0.2533333333333333,9.0,10.0,-1.0,0.5,4.0,0.0,-0.6000000000000001,-0.6000000000000001
2018-2019,24,2019-01-29,19:45,阿森纳,卡迪夫城,2,1,0,0,3,4,2,4,7,0,0,-1,-1,1554.9630948916565,1434.1045700065963,120.85852488505998,1.6,1.6,4.4,3.2,0.2,1.2,2.2,4.6,2.8,0.8,0.8,1.8,0.3288888888888889,0.2388888888888888,0.0833333333333333,0.25,10.0,10.0,0.0,1.0,5.0,1.4,-0.4000000000000001,1.0
2018-2019,24,2019-01-29,20:00,纽卡斯尔联,曼彻斯特城,2,1,0,1,3,2,4,1,8,0,0,1,-1,1447.6184878796148,1615.1242450735294,-167.50575719391463,1.0,1.8,2.6,4.6,2.6,1.0,5.6,7.8,0.8,1.4,2.4,0.8,0.3,0.3066666666666666,0.4966666666666667,0.3625,10.0,9.0,1.0,0.0,3.0,-1.6,-0.8,-2.4000000000000004
2018-2019,24,2019-01-29,19:45,狼队,西汉姆联,3,0,0,0,3,9,0,5,1,0,0,1,1,1504.014461494275,1488.570839796314,15.443621697961362,1.6,1.8,5.0,5.2,1.0,1.4,3.8,4.8,1.6,1.6,1.4,1.0,0.2888888888888888,0.4571428571428571,0.2133333333333333,0.2666666666666667,10.0,10.0,0.0,1.0,1.0,0.6000000000000001,-0.4000000000000001,0.1999999999999999
2018-2019,24,2019-01-30,19:45,伯恩茅斯,切尔西,4,0,0,0,4,7,7,3,7,0,0,1,1,1477.6805849115478,1565.7604982998162,-88.07991338826832,1.2,2.8,6.2,5.4,1.0,0.8,4.2,5.2,1.8,1.6,1.2,1.2,0.1966666666666666,0.5761904761904761,0.2166666666666666,0.375,11.0,11.0,0.0,0.0,2.0,0.1999999999999999,-2.0,-1.7999999999999998
